text,sentiment
I am impressed with the build quality.,positive
Very disappointed with the quality.,negative
"Awful support, no one responded.",negative
This is the worst product I have used.,negative
"This exceeded all my expectations, wonderful.",positive
Extremely slow and unreliable service.,negative
"I really enjoyed this product, it works great.",positive
The product broke after one day.,negative
"Excellent support team, solved my issue quickly.",positive
It stopped working within a week.,negative
"This was a terrible experience, I want a refund.",negative
"Works perfectly, no complaints at all.",positive
Customer service was rude and unhelpful.,negative
Best purchase I made this year.,positive
"This made my day, wonderful service.",positive
"Five stars, will buy again.",positive
"Great quality and fast shipping, very happy.",positive
Amazing value for the price.,positive
The staff was friendly and helpful.,positive
Very satisfied with the results.,positive
"Poor quality control, very unhappy.",negative
Super easy to use and reliable.,positive
"Waste of money, do not buy this.",negative
"Love it, exceeded my expectations.",positive
The item arrived damaged and late.,negative
"Absolutely fantastic experience, highly recommend.",positive
I regret this purchase completely.,negative
"Not what was advertised, misleading.",negative
I am frustrated and want my money back.,negative
"Completely useless, does not work as described.",negative
