size_sqft,bedrooms,age_years,price
2821.9,5,31.2,434542.47
1816.6,4,5.4,298678.0
3075.8,2,21.4,433085.55
2592.1,5,20.6,389916.29
782.5,3,34.3,148196.29
3426.9,3,18.5,464275.82
2783.4,3,15.4,406763.02
2858.2,1,25.6,375418.83
884.3,5,10.7,200775.42
1851.2,1,5.6,293622.87
1612.4,1,19.1,247427.71
3280.3,2,16.7,447003.88
2431.6,2,9.3,359949.53
2968.3,1,14.7,402213.85
1830.2,1,14.7,284334.47
1181.7,4,13.1,189784.94
2163.8,5,15.2,337027.13
691.5,1,27.4,97397.17
2982.9,2,11.9,395583.78
2395.0,3,38.0,362879.96
2774.3,5,36.7,418012.4
1563.6,4,19.2,249218.94
3412.1,4,13.1,462346.51
3179.4,3,21.4,400346.98
2835.2,3,33.9,389094.42
1083.9,1,26.1,211324.41
1900.2,5,32.2,308454.99
631.4,5,21.3,146721.33
962.9,1,25.3,167862.07
2549.1,4,11.5,358720.14
2734.3,1,29.4,366956.66
3402.5,4,8.1,487747.57
1477.5,5,27.8,252109.66
1611.4,1,34.4,246013.2
1908.7,3,5.3,305567.71
1068.4,1,24.6,183946.98
889.8,3,3.8,168544.24
1927.1,5,29.0,320206.69
1180.7,1,3.4,222431.56
2509.4,2,37.4,333862.0
1811.5,5,5.5,291311.1
2998.0,2,38.4,426623.31
2600.8,1,32.0,351207.59
1437.1,3,23.7,255635.67
2996.8,3,31.3,411323.01
2914.3,4,31.8,437638.56
1662.4,2,37.8,248543.96
1365.0,5,10.1,252603.88
2547.5,3,23.6,391367.63
919.3,2,3.8,168983.35
1099.7,5,24.6,195526.81
522.1,5,6.9,142496.13
2860.8,3,22.6,412778.77
2494.6,1,22.9,322411.31
2615.5,3,18.6,388101.9
2842.2,3,20.9,396528.25
1876.7,1,30.6,285148.4
2206.2,4,32.0,294848.03
919.4,5,19.7,178685.37
843.6,1,24.0,121941.94
2505.2,4,37.2,351606.9
1913.3,1,4.8,288914.95
2195.7,4,4.7,340454.53
2795.0,3,3.5,403844.74
2404.2,1,26.3,330953.56
2160.7,5,16.7,343967.24
2177.6,1,31.0,288700.11
1411.9,3,26.8,240600.15
592.5,1,13.3,132361.65
1810.2,5,35.9,295026.5
1143.8,4,30.5,212347.84
